Name,Hash,Meter,NPS sequence
Stamina RPG 6/[12] [138] Cake By The Ocean,baafb243d346d7ebc01b3dd655eb8d07f25e5dc4,12,"[0, 0, 0, 0, 0, 0, 1, 1, 2, 5, 5, 3, 5, 4, 5, 4, 4, 5, 3, 5, 5, 4, 6, 7, 6, 5, 5, 6, 4, 6, 7, 5, 2, 0, 1, 5, 9, 9, 9, 9, 10, 9, 9, 9, 9, 10, 9, 9, 9, 9, 10, 9, 9, 9, 9, 10, 9, 9, 9, 9, 10, 9, 9, 6, 0, 0, 1, 3, 5, 5, 4, 5, 5, 4, 4, 6, 4, 4, 5, 5, 5, 9, 9, 9, 9, 10, 9, 9, 9, 9, 10, 8, 6, 1, 4, 10, 9, 9, 9, 9, 10, 9, 9, 9, 9, 10, 9, 9, 9, 9, 10, 9, 9, 9, 9, 10, 9, 9, 9, 9, 10, 9, 9, 9, 9, 10, 9, 9, 9, 9, 10, 9, 9, 9, 9, 10, 6, 0, 0, 0, 0, 0, 1, 3, 9, 10, 9, 9, 9, 9, 10, 9, 9, 9, 9, 10, 9, 9, 9, 9, 10, 9, 9, 9, 9, 10, 9, 9, 9, 9, 10, 9, 9, 9, 9, 10, 9, 9, 9, 9, 10, 9, 9, 9, 9, 4]"
Stamina RPG 6/[12] [174] Gargantua,3d2952e0f5fd58f8a464c421e6187854dffebce1,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 5, 4, 2, 5, 4, 4, 5, 3, 4, 5, 3, 6, 5, 6, 7, 6, 6, 6, 6, 6, 6, 3, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 3, 3, 3, 3, 3, 6, 6, 8, 11, 12, 6, 11, 12, 8, 12, 10, 9, 12, 8, 5, 4, 8, 12, 11, 9, 12, 10, 9, 11, 9, 3, 4, 6, 11, 11, 8, 11, 11, 8, 12, 7, 5, 4, 10, 12, 11, 6, 12, 10, 9, 12, 6, 0, 1, 1, 1, 1, 2, 1, 3, 2, 1, 2, 2, 2, 2, 4, 3, 3, 3, 3, 4, 3, 3, 3, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 2, 5, 6, 6, 6, 6, 5, 6, 6, 0, 1, 1, 11, 12, 8, 12, 11, 8, 12, 11, 9, 11, 9, 12, 11, 9, 11, 11, 8, 11, 12, 2, 4, 4, 11, 12, 8, 12, 11, 7, 12, 11, 9, 12, 9, 11, 11, 9, 12, 11, 7, 11, 12, 1, 1, 1, 6, 12, 8, 9, 12, 6, 12, 12, 5, 12, 7, 7, 12, 8, 9, 11, 7, 12, 11, 4, 3, 4]"
Stamina RPG 6/[12] [160] Gimme Your Desire (Hard),37e179dacebf1bfb9d5074fa22ab20ff96790527,12,"[0, 1, 0, 0, 0, 0, 1, 4, 6, 0, 1, 0, 0, 1, 3, 6, 5, 7, 6, 5, 7, 6, 5, 5, 10, 3, 3, 2, 10, 11, 11, 10, 11, 11, 10, 11, 11, 10, 7, 5, 5, 5, 6, 6, 8, 10, 5, 5, 6, 8, 7, 7, 5, 6, 6, 5, 5, 5, 5, 5, 6, 5, 4, 6, 6, 11, 11, 10, 11, 11, 10, 11, 11, 10, 11, 11, 10, 11, 11, 10, 11, 11, 10, 11, 11, 10, 11, 11, 10, 7, 3, 5, 8, 11, 10, 11, 11, 10, 11, 11, 10, 11, 11, 3, 5, 6, 5, 7, 6, 5, 5, 6, 5, 6, 10, 4, 3, 6, 6, 5, 6, 4, 5, 6, 5, 5, 6, 3, 6, 10, 10, 11, 11, 10, 11, 11, 10, 11, 11, 10, 11, 11, 10, 11, 11, 10, 11, 11, 10, 11, 11, 10, 11, 11, 2, 4, 6, 10, 11, 11, 10, 11, 11, 10, 11, 11, 10, 7, 5]"
Stamina RPG 6/[12] [140] Higanbana,b502ad588316b2e0ad926fef475211bddf8d102c,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 3, 2, 2, 3, 2, 4, 5, 4, 5, 5, 4, 5, 9, 9, 10, 9, 9, 10, 9, 9, 10, 9, 9, 10, 9, 5, 10, 9, 9, 10, 9, 9, 10, 9, 9, 10, 9, 8, 5, 7, 9, 10, 9, 9, 10, 9, 9, 10, 9, 9, 10, 5, 4, 9, 9, 9, 10, 9, 9, 10, 9, 9, 10, 9, 8, 4, 4, 9, 10, 9, 9, 10, 9, 9, 10, 9, 9, 10, 9, 9, 8, 5, 4, 5, 5, 4, 5, 5, 4, 5, 5, 4, 5, 5, 4, 5, 5, 4, 5, 5, 4, 5, 5, 4, 5, 5, 4, 5, 2, 1, 1, 1, 1, 2, 3, 9, 10, 9, 9, 9, 4, 5, 10, 9, 9, 10, 9, 9, 10, 9, 9, 10, 9, 5, 4, 7, 9, 10, 9, 9, 10, 9, 9, 10, 9, 9, 10, 9, 6, 3, 1, 1, 1, 1, 1, 3, 3, 4, 4, 5, 4, 4, 4, 1, 1, 2, 3, 5, 1, 3, 5, 5, 4, 5, 4, 2, 6, 9, 9, 10, 9, 9, 10, 9, 9, 10, 9, 9, 10, 7, 7, 10, 9, 9, 10, 9, 9, 10, 9, 9, 10, 9, 3, 4, 9, 9, 10, 9, 9, 10, 9, 9, 10, 9, 9, 10, 9, 5, 10, 9, 9, 10, 9, 9, 10, 9, 9, 10, 9, 9, 8, 7, 9, 10, 9, 9, 10, 9, 9, 10, 9, 9, 10, 9, 9, 3]"
Stamina RPG 6/[12] [156] I Want U,767ccf2b2bcc1fa01fd5db172efafcf3ad3c10e1,12,"[0, 0, 0, 0, 0, 0, 0, 1, 4, 5, 5, 7, 10, 6, 7, 11, 10, 11, 10, 10, 11, 10, 11, 10, 10, 5, 7, 11, 10, 10, 11, 10, 11, 10, 10, 11, 10, 11, 10, 1, 1, 1, 1, 1, 1, 4, 5, 5, 5, 3, 9, 8, 5, 10, 10, 9, 10, 11, 10, 10, 7, 5, 11, 5, 1, 9, 10, 11, 10, 10, 11, 10, 11, 10, 10, 11, 10, 11, 10, 10, 11, 10, 11, 10, 10, 11, 10, 11, 10, 10, 11, 10, 11, 10, 10, 6, 10, 11, 10, 10, 6, 1, 8, 6, 10, 11, 8, 11, 10, 10, 11, 10, 11, 10, 4]"
Stamina RPG 6/[12] [135] I'm Coming,50d73eb908c8f1c49e0f4545fa2c2f4733016ae0,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3, 5, 3, 5, 3, 5, 3, 4, 4, 4, 8, 9, 8, 5, 9, 9, 9, 9, 9, 9, 7, 9, 9, 9, 9, 9, 9, 6, 9, 9, 9, 9, 9, 9, 6, 9, 9, 9, 9, 9, 9, 9, 6, 5, 6, 4, 5, 5, 4, 5, 5, 7, 4, 5, 3, 4, 7, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 8, 2, 4, 4, 4, 4, 4, 5, 3, 4, 4, 3, 8, 9, 9, 7, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 7, 9, 9, 9, 9, 9, 9, 7, 9, 9, 9, 9, 9, 9, 7, 8, 9, 9, 9, 9, 9, 7, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 7, 4, 4, 3, 5, 3, 4, 4, 3, 2]"
Stamina RPG 6/[12] [166] Killer Song,0723c695475f541e8f34affb6be88f9f37dfafef,12,"[0, 0, 1, 1, 9, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 10, 6, 5, 6, 6, 5, 2, 4, 4, 2, 2, 1, 3, 5, 6, 5, 6, 3, 4, 4, 3, 1, 1, 1, 1, 1, 1, 6, 5, 6, 5, 6, 5, 12, 5, 8, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 12, 11, 11, 11, 11, 11, 11, 11, 11, 11, 9, 6, 5, 6, 5, 5, 3, 4, 4, 1, 2, 1, 4, 5, 6, 5, 6, 2, 5, 4, 3, 1, 1, 1, 1, 1, 2, 6, 5, 6, 5, 6, 6, 11, 4, 10, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 12, 11, 11, 11, 11, 11, 11, 11, 6, 2, 2, 3, 1, 1, 1, 2, 2, 2, 1]"
Stamina RPG 6/[12] [178] Koi no Hime Hime Pettanko,fae6c535ed7020e09fb799a499d8bae17f748c15,12,"[0, 0, 0, 0, 0, 1, 3, 4, 4, 4, 4, 10, 12, 12, 12, 12, 12, 5, 5, 5, 6, 4, 6, 5, 5, 5, 5, 7, 12, 12, 12, 12, 11, 12, 12, 12, 12, 12, 8, 3, 3, 4, 0, 1, 2, 3, 3, 4, 1, 3, 4, 4, 4, 4, 3, 1, 4, 2, 1, 2, 11, 12, 11, 12, 12, 12, 12, 12, 12, 11, 12, 12, 12, 12, 12, 12, 11, 12, 9, 12, 12, 7, 3, 4, 6, 6, 7, 8, 7, 6, 6, 6, 4]"
Stamina RPG 6/[12] [150] Lifelight (Camellia's Hardstyle Bootleg),be73cef77658cdab05ed35af59bf354cf9caf814,12,"[0, 1, 4, 4, 2, 3, 4, 2, 3, 4, 3, 3, 4, 7, 5, 4, 4, 1, 4, 4, 2, 3, 4, 2, 3, 4, 4, 4, 4, 3, 5, 5, 5, 6, 5, 5, 7, 10, 10, 10, 10, 9, 8, 8, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 1, 3, 4, 3, 3, 8, 3, 5, 3, 3, 3, 3, 3, 3, 5, 4, 1, 4, 3, 5, 5, 5, 5, 4, 5, 5, 5, 5, 4, 4, 5, 5, 3, 3, 2, 4, 3, 6, 3, 3, 4, 4, 4, 7, 8, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 5, 1, 1, 2, 2, 7, 5, 4, 4, 2, 3, 4, 2, 3, 4, 3, 3, 4, 3, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 9, 10, 5, 6, 5, 5, 6, 5, 5, 6, 10, 10, 10, 10, 10, 7, 8, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 3, 1, 1, 1, 4, 2, 2, 3, 3, 2, 2, 3, 4]"
Stamina RPG 6/[12] [175] Nhelv (Medium),15160e012fc91836eafb9a1b30f1c52f21c3f5f2,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3, 2, 3, 2, 2, 2, 3, 3, 1, 4, 6, 7, 6, 5, 6, 8, 5, 5, 7, 6, 5, 7, 9, 9, 8, 9, 9, 6, 6, 8, 11, 8, 4, 6, 6, 5, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 5, 4, 8, 11, 12, 11, 12, 12, 11, 12, 12, 11, 12, 12, 11, 12, 11, 12, 12, 11, 12, 12, 11, 12, 5, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 3, 6, 6, 6, 5, 6, 6, 6, 8, 11, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 3, 6, 6, 6, 5, 6, 6, 6, 8, 11, 8, 1, 1, 1, 11, 11, 11, 3, 6, 8, 12, 11, 12, 11, 12, 12, 11, 12, 12, 11, 12, 12, 11, 4]"
Stamina RPG 6/[12] [150] Plasticine-Cocoes,cb19a8e1f5bb7fb3eccade656c9d85c9c53e91e1,12,"[0, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 1, 1, 1, 3, 1, 1, 2, 1, 1, 2, 1, 2, 1, 2, 1, 1, 2, 2, 1, 1, 1, 1, 3, 1, 1, 1, 2, 1, 1, 3, 3, 1, 4, 2, 2, 3, 3, 2, 3, 2, 3, 2, 3, 2, 3, 4, 4, 3, 5, 4, 6, 5, 5, 5, 4, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 4, 5, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 7, 6, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 7, 3, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 3, 1, 1, 2, 1, 1, 2, 1, 2, 1, 2, 1, 1, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 3, 2, 1, 1, 1, 1, 3, 6, 4, 6, 5, 5, 4, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 8, 5, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 3, 6, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 9, 5]"
Stamina RPG 6/[12] [165] Proud Grudge,540c22f3417e72d4fa458018817ffa6fd29d233e,12,"[0, 0, 0, 0, 1, 7, 4, 6, 5, 6, 4, 11, 11, 11, 11, 8, 8, 11, 11, 11, 11, 8, 8, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 6, 10, 11, 11, 11, 11, 11, 11, 11, 11, 11, 8, 10, 10, 8, 7, 11, 6, 8, 11, 8, 8, 9, 11, 11, 11, 11, 11, 4, 7, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 7, 5, 4, 9, 9, 4, 2, 11, 11, 11, 11, 11, 7, 9, 11, 11, 11, 10, 8, 9, 11, 11, 11, 11, 11, 2]"
